Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Asia	18-21	< 13	Male	Employed (full time)	Yes	Primary/elementary School	Somewhat important	Requirement	Requirement	Don't care	Requirement	Requirement	Requirement	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, Rust, Other	C++, Java	Haskell	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Embedded Systems, Game dev, Other	Another discord server	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Patriotic-Procrastinator	Yes	Laptop, Desktop	Mac	3	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat disagree	Somewhat	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Requirement	Don't care	Don't care	Don't care	Requirement	Requirement	Don't care	Requirement	Don't care	Requirement	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, Rust	Java	Lisp	I start a project but quickly lose motivation and usually don't complete a project	Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Mobile	Linux	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	18-21	< 13	Male	Student (full time)	Yes	Rather not say	Very important	Requirement	Very important	Somewhat important	Somewhat important	Very important	Requirement	Requirement	Somewhat important	Very important	This information will be kept private.	C++, Python, C, HTML, Haskell, Assembly, Other	C++, Python	Rust, Other	I start a project but quickly lose motivation and usually don't complete a project	Embedded Systems, Cyber security, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	I don't have a role :(	No but I'd like to be	Laptop	Linux	2	Less than once per year	To improve my knowledge	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Not sure	Somewhat	Somewhat disagree	No	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (full time)	Yes	Secondary/high school	Very important	Very important	Requirement	Don't care	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, TypeScript, Assembly	JavaScript, HTML, CSS, TypeScript	Other	I start a project but quickly lose motivation and usually don't complete a project	Pharmaceuticals, Robotics, Web dev, Cyber security, Other	Discord server discovery	1-2 years	Getting help with programming problems, Lurking	Super-Talky	Yes	Laptop, Desktop	Windows	1	Never			I can't find any projects that interest me, Other	Somewhat	Somewhat	Somewhat	Not sure	Not sure	Strongly disagree	No	This information will be kept private.
Europe	13-17	13 - 17	Male	Employed (part time)	Yes	Secondary/high school	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, HTML, CSS, PHP, TypeScript	Java	HTML, CSS, Rust	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev	Discord server listing website	1-2 years	Getting help with programming problems	Active	No but I'd like to be	Laptop, Desktop	Linux	2	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Yes	This information will be kept private.
North America	13-17	< 13	Male	Student (part time)	Yes	Secondary/high school	Very important	Very important	Requirement	Don't care	Somewhat important	Requirement	Very important	Requirement	Somewhat important	Requirement	This information will be kept private.	JavaScript, Python, C, HTML, CSS	JavaScript, Python, HTML	C++, Java, C#, PHP, Ruby	Other	Web dev	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active		Laptop	Windows	1	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	Yes	This information will be kept private.
Europe	13-17	< 13	Male	Student (part time)	Yes	College/University study without earning a degree	Very important	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, Python, HTML, CSS, Kotlin, TypeScript, Elixir	JavaScript, HTML, CSS, TypeScript, Elixir	Rust, Go	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Data Science, Embedded Systems, Artificial Intelligence	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	Yes	Desktop, Mobile	Linux	1	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Somewhat	Not sure	Somewhat disagree	Strongly disagree	Yes	This information will be kept private.
Europe	18-21	13 - 17	Male	Rather not say	Yes	Rather not say	Very important	Very important	Don't care	Don't care	Requirement	Somewhat important	Somewhat important	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, HTML, CSS, C#	JavaScript, C#	C++, Haskell	I commit to a project until I reach a defined end goal before moving on to the next	Robotics, Cyber security, Artificial Intelligence, Other	Discord server listing website	1-2 years	Getting help with programming problems	Active		Laptop, Desktop	Windows	1	Never			I don't have the time	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	No	This information will be kept private.
Europe	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Very important	Don't care	Somewhat important	Very important	Very important	Requirement	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, Rust, TypeScript, Lua	JavaScript, Python, TypeScript	Go, Ruby, Elixir	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Cyber security	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	No but I'd like to be	Laptop	Mac	2	Several times per week	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	C++, Java, Python, C, C#, Rust, Assembly	C++, Java, C, C#	Go	I have lots of projects on the go. Switching between them keeps me motivated	Data Science, Embedded Systems, Game dev, Artificial Intelligence	Discord server discovery	2-3 years	Chatting with other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop, Desktop	Linux	2	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	18-21	< 13	Male	Self Employed (full time)	Yes	Secondary/high school	Requirement	Very important	Very important	Don't care	Don't care	Very important	Don't care	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, Java, Python, HTML, CSS	JavaScript, HTML, CSS, PHP	TypeScript, Go	I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Game dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Laptop	Linux	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Not sure	Not sure	Not sure	Not sure	Not sure	Somewhat disagree	Yes	This information will be kept private.
North America	26-30	13 - 17	Female	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Somewhat important	Somewhat important	Requirement	Requirement	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, HTML, CSS, PHP, Other	JavaScript, HTML, CSS, PHP, Other		I commit to a project until I reach a defined end goal before moving on to the next	Web dev, Mobile dev, Embedded Systems, Testing	Discord server discovery	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Desktop	Windows	1	Never			I don't feel comfortable with my ability, I don't have the time, I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Very important	Requirement	Somewhat important	Very important	Requirement	Very important	Very important	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS	JavaScript, HTML, CSS	C++, C, C#, PHP	I need to have some collaborators in order to keep myself motivated	Web dev, Data Science, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Laptop, Desktop, Mobile	Windows	1	Several times per week	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	No	This information will be kept private.
Oceania	31-40	18 - 21	Male	Employed (full time)	No	Bachelor's degree	Requirement	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, C#, TypeScript, Other	Other		I need to have some collaborators in order to keep myself motivated	Web dev, Other	Discord server listing website	3+ years	Chatting with other programmers, Helping other programmers	Super-Talky	No but I'd like to be	Laptop, Desktop	Windows	3	Less than once per year	To improve my knowledge	I'm happy with my current level of open source contribution		Somewhat	Somewhat	Not sure	Somewhat	Somewhat	Strongly disagree	No	This information will be kept private.
North America	13-17	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Don't care	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	C++, Java, C, HTML, CSS, PHP, Assembly	C++, Java	Rust, Go, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Game dev	Through a friend/colleague	1-2 years	Chatting with other programmers, Helping other programmers	Bepis-Drinker	Yes	Laptop, Desktop	Linux	1	A least once per month	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	22-25	< 13	Male	Employed (full time)	Yes	Master's degree	Very important	Somewhat important	Very important	Don't care	Somewhat important	Very important	Somewhat important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, C, HTML, CSS, Rust, TypeScript, Haskell, Assembly	JavaScript, Rust	Haskell, Assembly	Other	Embedded Systems, Game dev, Other	Other	3+ years	Chatting with other programmers, Helping other programmers, Lurking	Conke-Commander	Yes	Laptop, Desktop	Linux	1	Several times per week	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Strongly Agree	No	This information will be kept private.
Asia	13-17	< 13	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Don't care	Don't care	Very important	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, TypeScript	JavaScript, Java, TypeScript	PHP, Kotlin	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Mobile dev, Data Science, Game dev, Testing, Artificial Intelligence	Discord server discovery	1-2 years	Getting help with programming problems	Chatterbox	No but I'd like to be	Laptop, Mobile	Windows	2	Less than once per year	To improve my knowledge, To fix issues in libraries I use, Other	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Somewhat	Not sure	Not sure	Somewhat	No	This information will be kept private.
North America	22-25	18 - 21	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Don't care	Somewhat important	Don't care	Requirement	Very important	Requirement	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS, C#, TypeScript, Go, Ruby	JavaScript, TypeScript, Ruby	Rust	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Web dev, Data Science, Game dev	Through a friend/colleague	0-1 years	Chatting with other programmers, Lurking	Chatterbox	No but I'd like to be	Laptop, Desktop	Mac	2	Less than once per month but more than once per year	To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Yes	This information will be kept private.
Europe	26-30	18 - 21	Male	Employed (part time)	Yes	College/University study without earning a degree	Very important	Somewhat important	Very important	Somewhat important	Very important	Very important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, HTML, CSS, Kotlin, TypeScript, Other	Java, Other	JavaScript, Java, Python, TypeScript, Other	I commit to a project until I reach a defined end goal before moving on to the next	Fintech, Data Science, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Lurking	Active	No but I'd like to be	Laptop	Windows	2	Never			I can't find any projects that interest me	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
North America	22-25	13 - 17	Male	Student (full time)	Yes	College/University study without earning a degree	Requirement	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS	JavaScript, Python, HTML, CSS	C++, Rust, TypeScript	I need to have some collaborators in order to keep myself motivated	Fintech, Web dev, Embedded Systems, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	No but I'd like to be	Laptop, Desktop	Mac	2	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree		Strongly Agree		Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	26-30	22 - 25	Male	Rather not say	Yes	Bachelor's degree	Requirement	Somewhat important	Somewhat important	Don't care	Don't care	Very important	Very important	Very important	Very important	Requirement	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, Rust, TypeScript, Go	Python, HTML, C#, TypeScript	Kotlin, Rust, Go	I commit to a project until I reach a defined end goal before moving on to the next	Fintech, Embedded Systems	Other	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Conke-Commander	Yes	Desktop	Linux	1	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
North America	13-17	13 - 17	Female	Student (full time)	Yes	Secondary/high school	Requirement	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Python, TypeScript	JavaScript	C++, Python, HTML, CSS, C#	I commit to a project until I reach a defined end goal before moving on to the next	Mobile dev, Game dev, Testing	Discord server listing website	0-1 years	Chatting with other programmers, Getting help with programming problems	Active	No but I'd like to be	Laptop, Desktop	Windows	1	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Somewhat important	Don't care	Very important	Somewhat important	Very important	Requirement	Don't care	Very important	This information will be kept private.	C++, C, Other	C++, Other	Lisp, Other	Other	Other	Other	2-3 years	Lurking	Active	No but I'd like to be	Laptop	Windows	2	A least once per month	To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	13-17	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, HTML, CSS, C#	JavaScript, HTML, CSS	C++	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Cyber security	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Desktop	Windows	1	Less than once per year	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects								No, I didn't know they were enabled	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	College/University study without earning a degree	Requirement	Somewhat important	Requirement	Somewhat important	Very important	Very important	Requirement	Very important	Don't care	Requirement	This information will be kept private.	Java, Python, C, Kotlin	Java, Python, C	JavaScript, C++, HTML, CSS, Kotlin, Other	I need to have some collaborators in order to keep myself motivated	Web dev, Mobile dev, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Helping other programmers, Getting help with programming problems	I don't have a role :(		Desktop	Windows	1	Never			I don't feel comfortable with my ability, Other	Not sure	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	No	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, C#, Rust, Assembly, Go, Other	C++, Python, C		I start a project but quickly lose motivation and usually don't complete a project	Robotics, Web dev, Cyber security	Through a friend/colleague	1-2 years	Chatting with other programmers, Helping other programmers	Active	No but I'd like to be	Laptop, Desktop	Mac	3	Never			Other	Strongly Agree	Somewhat disagree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	No	This information will be kept private.
North America	31-40	< 13	Male	Employed (full time)	Yes	Associate degree	Somewhat important	Don't care	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Very important	Don't care	Don't care	This information will be kept private.	Java, C, Assembly, Elixir	C, PHP, Lua, Assembly, Lisp, Elixir, Other	Kotlin, Rust, TypeScript	I need to have some collaborators in order to keep myself motivated	Robotics, Data Science, Embedded Systems, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Lurking	Chatterbox	No but I'd like to be	Laptop, Desktop	Linux	1	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	No	This information will be kept private.
North America	22-25	13 - 17	Male	Self Employed (full time)	No	Bachelor's degree	Very important	Very important	Requirement	Don't care	Don't care	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	Java, HTML	Java	HTML, CSS, Kotlin	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Web dev, Data Science, Game dev, Testing, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Chatterbox	No but I'd like to be	Desktop	Windows	3	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Not sure	Not sure	Not sure	No	This information will be kept private.
North America	22-25	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Kotlin, TypeScript, Lisp, Go, Elixir	JavaScript, HTML, CSS, TypeScript, Lisp, Go	Lua, Other	I start a project but quickly lose motivation and usually don't complete a project	Fintech, Web dev, Data Science, Game dev, Testing, Artificial Intelligence, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Patriotic-Procrastinator	Yes	Laptop	Linux	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat	Somewhat	Somewhat disagree	Somewhat	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (full time)	Yes	College/University study without earning a degree	Very important	Very important	Somewhat important	Don't care	Somewhat important	Very important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, HTML, CSS, TypeScript, Go, Ruby	JavaScript, Java, HTML, Ruby	Rust, Go, Elixir	I start a project but quickly lose motivation and usually don't complete a project	Pharmaceuticals, Robotics, Web dev, Mobile dev, Data Science, Embedded Systems, Cyber security	Other	3+ years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Bepis-Drinker	No but I'd like to be	Laptop	Mac	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to contribute to more open source projects		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Rather not say	13-17	< 13	Rather not say	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Don't care	Somewhat important	Very important	Requirement	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	Python, HTML	Python	JavaScript, Java, Python	I commit to a project until I reach a defined end goal before moving on to the next	Data Science, Cyber security, Artificial Intelligence	Discord server listing website	1-2 years	Chatting with other programmers, Getting help with programming problems	I don't have a role :(	No but I'd like to be	Laptop, Mobile	Other	1	Never			I don't feel comfortable with my ability, I can't find any projects that interest me	Somewhat disagree	Not sure	Not sure	Not sure	Somewhat	Somewhat	No, I didn't know they were enabled	This information will be kept private.
Europe	31-40	26+	Female	Employed (full time)	No	Bachelor's degree	Very important	Requirement	Requirement	Don't care	Very important	Very important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, HTML, CSS, PHP	HTML, PHP	JavaScript, Other	I start a project but quickly lose motivation and usually don't complete a project	Web dev	Through a friend/colleague	1-2 years	Getting help with programming problems	I don't have a role :(	No but I'd like to be	Laptop	Linux	2	Never			I don't feel comfortable with my ability	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	Strongly Agree	Somewhat	No	This information will be kept private.
Europe	26-30	18 - 21	Male	Employed (full time)	No	Bachelor's degree	Very important	Requirement	Requirement	Somewhat important	Requirement	Requirement	Very important	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript	JavaScript, HTML, TypeScript	Python	I start a project but quickly lose motivation and usually don't complete a project	Web dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Helping other programmers, Getting help with programming problems	Bepis-Drinker	No but I'd like to be	Laptop, Desktop	Mac	2	Less than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat disagree	Somewhat	Somewhat	Not sure	Somewhat disagree	Strongly disagree	Yes	This information will be kept private.
North America	13-17	13 - 17	Male	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, Go	JavaScript, Python, Go	Java	I need to have some collaborators in order to keep myself motivated	Web dev, Other	Discord server listing website	0-1 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Active	No but I'd like to be	Desktop	Windows	1	Less than once per month but more than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	No	This information will be kept private.
North America	18-21	< 13	Male	Student (full time)	Yes	Secondary/high school	Requirement	Requirement	Requirement	Don't care	Requirement	Very important	Requirement	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, Haskell, Assembly, Lisp	C, Lisp	Rust, Elixir, Other	I have lots of projects on the go. Switching between them keeps me motivated	Robotics, Embedded Systems, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Lurking	Active		Laptop, Desktop	Linux	1	Less than once per month but more than once per year	To fix issues in libraries I use	I would like to contribute to more open source projects		Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	No	This information will be kept private.
Asia	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Very important	Very important	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Kotlin, TypeScript	JavaScript, Java, HTML, CSS, Kotlin, TypeScript	C++, Rust, Haskell, Go, Ruby	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Mobile dev	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers	Patriotic-Procrastinator	Yes	Laptop	Windows	1	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Strongly Agree	Somewhat	Somewhat	Somewhat	Somewhat	Yes	This information will be kept private.
Oceania	13-17	< 13	Female	Student (full time)	Yes	Primary/elementary School	Requirement	Somewhat important	Somewhat important	Don't care	Don't care	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, Rust, TypeScript, Haskell, Lua, Other	JavaScript, TypeScript	Other	I start a project but quickly lose motivation and usually don't complete a project	Web dev, Mobile dev, Data Science, Cyber security, Artificial Intelligence	Discord server discovery	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop	Mac	1	A least once per month	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat disagree	No	This information will be kept private.
Europe	26-30	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree											This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, TypeScript	JavaScript, Python, HTML, CSS	Kotlin, Rust, Assembly	I start a project but quickly lose motivation and usually don't complete a project	Web dev	Search engine result (google, duckduckgo, bing, yahoo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Super-Talky	No but I'd like to be	Desktop	Linux	1	Less than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I would like to only contribute to open source projects								Yes	This information will be kept private.
