Where are you from?	How old are you?	What age did you start programming?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home?	Which language(s) would you say you are most proficient in?	What is your favourite language and why?	What is your least favourite language and why?	Which language/framework/tool would you like to learn over the next year?	If you work on personal projects, which of these best describes your approach?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Would you be more likely to contribute to open source projects if TPH offered more contribution opportunities?	What language(s) would you like to see TPH make an open source project in?	Do you have any ideas for projects TPH could start?	Why have you not contributed to open source projects?	Which of our network servers are you a part of?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	What improvements would you like to suggest to the moderation team? (if any)	What spotlight would you like to see next on TPH? (It can be any language/framework/library/tool/technology)	What new channel you would like to see on TPH?	What is your favourite thing about TPH?	What is your least favourite thing about TPH?	Do you have any other comments you'd like to give to the moderation team?
North America	41+	< 13	Employed (full time)	Yes	College/University study without earning a degree	Requirement	Requirement	Somewhat important	Don't care	Very important	Very important	Somewhat important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, C, HTML, CSS, C#, Lua, Assembly, Lisp	C, C#	C/C# - C# because it's like C and with C I love the abstracted yet close to the hardware language it is.	HTML - it's a markup, not a language.  Tired of explaining to HR...	Would like to get deep into Javascript - I jumped off the bandwagon way back and regret it since.	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't have the time	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	22-25	22 - 25	Student (part time)	Yes	Secondary/high school	Very important	Very important	Don't care	Don't care	Very important	Requirement	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, C#, TypeScript, Assembly	JavaScript, Python, HTML, TypeScript	Typescript because it opens up the most opportunities	Java, no reason.	GraphQL	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	Keeps the tech world running	I would like to contribute to more open source projects	Yes - If it was a language I know	Python, Typescript	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Not sure	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	13 - 17	Student (full time)	Yes	Bachelor's degree	Very important	Somewhat important	Somewhat important	Very important	Requirement	Somewhat important	Somewhat important	Don't care	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Lua, Assembly, algorithmic language	C++, Java, C	c++ because it has the power of the low level with the flexibility of classes	python because the syntax is relay messy	cgicc	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	to help to fix bugs	I would like to contribute to more open source projects	Yes - If it was a language I know	C/C++	N/A	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Somewhat	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	18 - 21	Employed (full time)	Yes	Master's degree	Very important	Somewhat important	Don't care	Don't care	Requirement	Requirement	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	C++, Python, C, Lisp, OCaml	Python	N/A	Golang, I don't understand most of the design choices behind it. Thankfully I don't have to use it.	CUDA, Julia, Haskell	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	I find it interesting to work on different projects that change from what I do at school/work.	I'm happy with my current level of open source contribution	No	N/A	N/A	N/A	Controversy Central, Late Gaming, The Pentester's Hangout	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Vim	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Employed (internship)	Yes	College/University study without earning a degree	Somewhat important	Somewhat important	Very important	Don't care	Don't care	Somewhat important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, TypeScript, dart	Java, Python, C#, dart	I am currently all over dart, it feels alot better than Java to write and read.	I have once tried Go and didn't like it very much.	I would like to learn more web dev frameworks. I have previously learned a bunch about react, but I have no idea how I would set up a very simple website without it yet.	I commit to a project until I reach a defined end goal before moving on to the next	Several times per week	Making software open source is important to me. Code that can be picked up by anyone when the original author is done with the project is super valuable and developing things together opens many doors and possibilities. I love helping other people finding bugs in their programs or suggesting new exciting features.	I'm happy with my current level of open source contribution	No	python	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	Flutter	split mobile development channels instead of a single one	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	learning by myself	Yes	Primary/elementary School	Requirement	Very important	Very important	Somewhat important	Somewhat important	Very important	Requirement	Very important	Somewhat important	Somewhat important	This information will be kept private.	C++, Java, Python, C, C#, Lua, Assembly	C++, C	C++, it is fast and efficient. You can use it to do anything you can dream of even if it isn't always the best idea. I do dislike them compile times though..	I don't really know. Maybe python, it prioritizes simplicity- leading to a slow and inefficient language that many people incapable of using harder languages get stuck with.	I would like to get better at C/C++ and assembly, still deciding if I should focus on gnu assembler or nasm	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Strongly Agree	Strongly disagree	This information will be kept private.	N/A	maybe a groovy/scala channel? i don't know, I personally I don't like scala's speed and lost motivation in learning groovy since I have no reason to do so. Maybe someone else will like it (the channels) though.	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	31-40	26+	Unemployed	Yes	Master's degree	Somewhat important	Very important	Very important	Don't care	Somewhat important	Requirement	Very important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, PHP, TypeScript	JavaScript, HTML, C#, TypeScript	Csharp, it's like Java with the benefit of hindsight and attention to modernization	PHP. I hate the syntax, the globals, the naming conventions, etc.	Elixir, Haskell, Kubernetes	I need to have some collaborators in order to keep myself motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	The Pentester's Hangout	Somewhat	Somewhat	Strongly Agree	Strongly Agree	Somewhat	Strongly disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	13 - 17	Employed (full time)	Yes	Secondary/high school	Very important	Requirement	Very important	Somewhat important	Requirement	Very important	Requirement	Requirement	Requirement	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript	JavaScript, HTML, CSS, C#, TypeScript	Typescript. 1. Its easy to get going (just like js but with the added benifit of a better developer experience due to its better tooling. 2. For more experienced users, it offers more advanced optional features. 3. While being interpreted, is a very performant when used with node. (https://www.techempower.com/benchmarks/ nodejs often out performing compiled languages) 4. Its very popular in the industry due to its single-threaded and event driven nature resulting in easier asyncronous programmeing. 5. It allows you to be vertical on the tech stack, since its used on both the frontend and backend.	PHP Memes aside, I don't like its syntax and theres much better options. The only valid use cases are the old but still extremly popular CMSs such as wordpress.	Asp.net	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	Because I like the project	I would like to contribute to more open source projects	Yes	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	Rust's Yew or any web assembly related	#Linux	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	< 13	Self Employed (full time)	Yes	Secondary/high school	Requirement	Very important	Somewhat important	Don't care	Don't care	Somewhat important	Don't care	Very important	Don't care	Don't care	This information will be kept private.	JavaScript, C++, Java, C, HTML, CSS, PHP, Lua, Assembly	JavaScript, Java, HTML, CSS, PHP	Javascript; Its a forgiving enough language I can throw syntax out the window and just code my solutions then go back and prettify/'properly' format it later	pHp; By god does it just have some weird syntax and key words. Its like 5 dudes each designed their own portion of the language their way with no intercommunication	I just want a Sublime Text Editor liscense so it quits screaming at me to buy one	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I can't find any projects that interest me, Id rather work on my own projects, and most open source projects I am interested by are just too much work to add to which takes away the fun	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Somewhat disagree	Not sure	Somewhat disagree	Strongly disagree	This information will be kept private.	N/A	Virtual reality related channel	This information will be kept private.	This information will be kept private.	This information will be kept private.
South America	22-25	18 - 21	Employed (full time)	No	Secondary/high school	Very important	Requirement	Somewhat important	Somewhat important	Very important	Very important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, Kotlin, Rust, TypeScript, Go, Ruby	JavaScript, Python, TypeScript	Rust and Go, don't know why	N/A	I would like to perfect my Golang and get into Devops	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	31-40	< 13	Employed (full time)	Yes	Master's degree	Very important	Somewhat important	Requirement	Somewhat important	Somewhat important	Very important	Very important	Requirement	Don't care	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, Rust, TypeScript, Assembly	JavaScript, Python, C, TypeScript	Rust, because it's the future	Java, because it's the direct source of so many bad OOP habits	I'd like to learn ARM and Prometheus	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	If I run into an issue and want something improved or changed, because asking people who maintain it for free to take on feature requests is rude	I would like to contribute to more open source projects	Yes	Rust	a distributed p2p computing or web platform	N/A	Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	genetic algorithms	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	< 13	Student (full time)	Yes	Secondary/high school	Very important	Very important	Don't care	Somewhat important	Don't care	Very important	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, PHP, Assembly, Go	Java, Python, HTML, Go	Go -- it is a blend between the low level constructs of C and a high level language. It has a unique style of OOP that suits someone such as myself that generally dislikes OOP principles and finds them a hinderance.	Javascript -- It's a dynamic language that has often confusing and crudely implemented features.	More Go and C	I start a project but quickly lose motivation and usually don't complete a project	A least once per month	I use them myself and perhaps they need modification or improvements. Once finished I open a pull request to the original project if suitable.	I would like to contribute to more open source projects	No	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Not sure	Somewhat disagree	Somewhat disagree	Strongly disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Oceania	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Don't care	Very important	Very important	Somewhat important	Don't care	Somewhat important	Don't care	Don't care	Don't care	Don't care	This information will be kept private.	C++, Java, Python, C, HTML, CSS, C#, Lua, Ruby	Java	Java. It's my favourite cause :shrug:	Python - Slow	Arduino/Pi/C & Machine Learning / AI.	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	Controversy Central, Late Gaming, The Pentester's Hangout, None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Somewhat important	Requirement	Requirement	Somewhat important	Don't care	Don't care	Don't care	Very important	Don't care	Don't care	This information will be kept private.	Java, Kotlin, Rust, Haxe	Java, Kotlin, Rust	Rust, it is fast, native, low level while still being intuitive to use, has many libraries.	Python. I have written a website about why -> https://pythonlang.org	Don't know	I have lots of projects on the go. Switching between them keeps me motivated	A least once per month	For fun, or in order to implement features I'd like to use	I would like to contribute to more open source projects	Yes - If it was a language I know	Rust, Haxe	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	Haxe. It really isn't as well known and widely used as it should be	a channel for the haxe language	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Unemployed	Yes	College/University study without earning a degree	Very important	Very important	Somewhat important	Somewhat important	Very important	Very important	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, C#, PHP	JavaScript, HTML, CSS	Javascript because it's simple and very powerful	Java because there's too much template code	Python	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Primary/elementary School	Very important	Requirement	Somewhat important	Very important	Very important	Somewhat important	Requirement	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, Python, HTML, CSS, PHP	JavaScript, HTML, CSS, PHP	N/A	N/A	I think reactJs and Laravel	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I can't find any projects that interest me	Late Gaming	Somewhat	Not sure	Somewhat	Somewhat	Not sure	Somewhat disagree	This information will be kept private.	Laravel	Asignment discussion	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	< 13	Employed (full time)	Yes	Master's degree	Somewhat important	Somewhat important	Requirement	Don't care	Somewhat important	Very important	Requirement	Requirement	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, Python, PHP, Go	Python	Python makes programming quiet simple and pretty powerful for my current usage	Java makes everything complex or at least on my opinion	Golang	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per month but more than once per year	To help on what I can and make a better project	I'm happy with my current level of open source contribution	Yes - If it was a language I know	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Employed (internship)	Yes	Bachelor's degree	Very important	Very important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, TypeScript, Lisp, Go, Elixir	JavaScript, HTML, TypeScript, Go	Go. It just clicks and it took like a day to pick up.	Javascript because nothing is standardized, but I'm also forced to use it everywhere.	It'd bd neat to learn styling and figma.	I need to have some collaborators in order to keep myself motivated	A least once per month	Usually they're services/ tools I use.	I'm happy with my current level of open source contribution	Yes - If it was a language I know	Go	Lessons on various topics taught in vc -> blog	N/A	DiscordKt, Controversy Central, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Not sure	Strongly Agree	Not sure	Strongly Agree	This information will be kept private.	Serverless (sls)	The discussion channel used to be neat.	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	18-21	13 - 17	Student (full time)	No	Secondary/high school	Very important	Very important	Somewhat important	Somewhat important	Very important	Somewhat important	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python	JavaScript, HTML, CSS	Javascript because it can do so many things from building websites to making mobile apps.	swift, but all languages are good in own ways. except swift ofc.xd	react native, idk if thats a framework but yeah #beginner problems.	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	I don't	I'm happy with my current level of open source contribution	Yes - If it was a language I know	javascript	N/A	N/A	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Strongly disagree	This information will be kept private.	react	reactjs/native	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	26-30	13 - 17	Employed (part time)	Yes	Associate degree	Don't care	Somewhat important	Somewhat important	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, TypeScript, Lisp, Ruby	C++, Java, HTML, CSS, Lisp	Java or kotlin, because I like the JVM	N/A	More kotlin or scala	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	The open source philosophy	I would like to only contribute to open source projects	Yes - If it was a language I know	N/A	N/A	N/A	Controversy Central, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Java, SQL/NoSQL, Scala, Kotlin, Clojure, Functional Programming Paradigm	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	31-40	< 13	Employed (full time)	Yes	Bachelor's degree	Very important	Don't care	Somewhat important	Don't care	Requirement	Requirement	Very important	Somewhat important	Don't care	Very important	This information will be kept private.	JavaScript, Python, HTML, CSS, PHP, SQL	Python, SQL	SQL, it's the one I spend the most time in and I've got the most practice in	Don't have one really, all languages are equal in the eyes of our Lord Blaze.	Nothing specific, probably more Python	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't have the time, I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	Somewhat	Strongly Agree	This information will be kept private.	vbscript	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Africa	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Requirement	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Very important	Don't care	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS	JavaScript, HTML, CSS	JavaScript, Because Im good at it.	C++, too complicated for some reason	React, Express, Get better at Regex, C#, Get proficient at python, work more with Electron, Get better at Java	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't have the time	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	Maybe webscraping talk (maybe)	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Requirement	Don't care	Don't care	Very important	Very important	Requirement	Don't care	Don't care	Don't care	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, PHP, Rust, TypeScript	JavaScript, HTML, CSS, TypeScript	Typescript because I do a lot of web development	Ruby/Python because they have horrible syntax	Rust, Vue, Angular	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I can't find any projects that interest me	None - I'm only in The Programmer's Hangout	Somewhat	Strongly Agree	Somewhat	Not sure	Not sure	Somewhat disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Somewhat important	Don't care	Requirement	Very important	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	Java, C#, PHP, Rust	Java, Rust	Rust, due to memory safety by default, good documentation for the standard library and many community libraries, and it encourages a somewhat functional programming style.	PHP, die to a bloated standard library/ far too many built-in functions, and many design decisions which make it difficult to know when something is deprecated.	Elixir and the tools used for it.	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	DiscordKt, Late Gaming, None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Not sure	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	26-30	22 - 25	Employed (full time)	No	Bachelor's degree	Very important	Don't care	Don't care	Very important	Requirement	Requirement	Very important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, C, HTML, CSS, C#, Assembly	C	It's C, because it is very simple to learn, and you basically need no prerequisite knowledge. It flows like a butter, and holds your hand while investigating architectures.	I can't decide. Every language known to me has some purpose, regardless of me using it or not.	Rust, JavaScript	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't have the time	Controversy Central, The Pentester's Hangout	Strongly Agree	Somewhat	Strongly Agree	Not sure	Somewhat	Strongly Agree	This information will be kept private.	N/A	#working-set, a channel that deals with various build automation and testing tools. So questions about these don't create noise in language specific channels.	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	< 13	Recently graduated	Yes	Vocational qualification	Very important	Requirement	Very important	Don't care	Requirement	Requirement	Very important	Somewhat important	Somewhat important	Don't care	This information will be kept private.	JavaScript, Java, HTML, CSS, C#, PHP, TypeScript	Java	Java. It's simple and has good employment	CSS. I'm just the worst at UI design	React	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	I want to improve some tools that I use	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	22-25	13 - 17	Student (full time)	Yes	College/University study without earning a degree	Very important	Very important	Somewhat important	Don't care	Very important	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Java, Python, C, HTML, CSS, C#, PHP, Kotlin, Rust, TypeScript, Haskell, Assembly, Lisp, Idris	JavaScript, Java, TypeScript, Haskell	Idris	Java	Next.js	I have lots of projects on the go. Switching between them keeps me motivated	Less than once per month but more than once per year	Help progress humanity.	I would like to only contribute to open source projects	Yes - If it was a language I know	Idris	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	This information will be kept private.	Nix	FP	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Somewhat important	Very important	Don't care	Somewhat important	Don't care	Somewhat important	Very important	Somewhat important	Somewhat important	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, Assembly	Python	I don't feel like I know enough yet to decide but at the moment it is python due to it being versatile and easy to write something in quickly.	Of the ones I know, Java. I don't like how everything is tied to the object-oriented style and I find it time consuming to write in, even for easy tasks.	I'd like to dive in to web development, which means javascript. Learning to master react or any other framework. I think web apps are the future.	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per month but more than once per year	Because I like to contribute to projects that I believe in. Open source projects are open for contributions. I feel like you can learn a lot by reading other people's code and see how they approach solving problems. Open source allows this.  I only contribute when I feel confident enough in contributing. This is why I don't contribute that much.	I would like to contribute to more open source projects	Yes - If it was a language I know	Python	N/A	N/A	The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Not sure	Not sure	This information will be kept private.	Progressive web apps	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
South America	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Very important	Very important	Somewhat important	Don't care	Somewhat important	Requirement	Very important	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Python, HTML, CSS, TypeScript	JavaScript, TypeScript	typescript because it's javascript without all of the dumb shit :)	(lisp)	react + related libraries, and java	I start a project but quickly lose motivation and usually don't complete a project	Several times per week	i really like the idea of helping random people	I would like to contribute to more open source projects	Yes - If it was a language I know	N/A	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Africa	18-21	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Very important	Don't care	Very important	Requirement	Somewhat important	Requirement	Don't care	Requirement	This information will be kept private.	C++, Java, Kotlin, Rust, Haskell, Ruby, Scala	Rust, Haskell	Haskell; I'm fond of functional programming and fond of Haskell's additions to this field even more so.	C++; I just wish it was more like languages I'm more fond of.	Javascript	I start a project but quickly lose motivation and usually don't complete a project	Less than once per month but more than once per year	Love of programming, helping others	I would like to contribute to more open source projects	No	N/A	N/A	N/A	DiscordKt, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	High school student Hobby	Yes	Secondary/high school	Somewhat important	Very important	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS	JavaScript	Javascript  I find javascript not confusing like java like for a beginner it is very easy to learn and it has some basic concepts of programming. Unlike python if u use js it is not that difficult to move to a low level language because of the use of (),{},etc. And the basic idea of a language that is initially a browser language but is able to do like everything just by using a runtime (node) and some packages(npm) I find it fasanating.	Ironically brainfuck, Unironically Java, Don't get me wrong I use java alot but I will love to understand it but the problem lies there that it's difficult to understand and like is present everywhere.	Java, react, react native, express, python, sql, firebase	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't have the time	DiscordKt	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	Somewhat	Not sure	This information will be kept private.	Arduino maybe just some practical projects	Group project	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	22-25	18 - 21	Student (full time)	Yes	Bachelor's degree	Very important	Very important	Don't care	Don't care	Somewhat important	Somewhat important	Requirement	Requirement	Don't care	Somewhat important	This information will be kept private.	JavaScript, C++, Java, Python, HTML, CSS, C#, Kotlin, Assembly	Java, Python	Python. It just has so many useful functions right off the bat as well as neat little ways to do routine operations. I love list comprehensions too.	C++. Felt as if the language was too rigid for my liking. Also didn't like the memory management part.	In general - Kotlin so I can develop random android apps.	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I can't find any projects that interest me	Controversy Central, Late Gaming	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
